Gene ID	Control-1(raw)	Control-2(raw)	Control-3(raw)	Treat-1(raw)	Treat-2(raw)	Treat-3(raw)	Control-1	Control-2	Control-3	Treat-1	Treat-2	Treat-3	Gene Symbol
497097	8.5	6.107143	11.799999	14.792544	2.3333333	9	0	0	0	0	0	0	Xkr4
100418032	0	0	0	0	0	0	0	0	0	0	0	0	Gm18956
105243853	0	0	0	0	0	0	0	0	0	0	0	0	Gm39585
664792	0	0	0	0	0	0	0	0	0	0	0	0	Gm7341
108167595	0	0	0	0	0	0	0	0	0	0	0	0	LOC108167595
105242467	0	0	0	0	0	0	0	0	0	0	0	0	Gm38717
619785	0	0	0	0	0	0	0	0	0	0	0	0	Gm6101
19888	25.8	10	19	15	14	19.086153	0	0	0	0	0	0	Rp1
20671	3654.224	3340.2258	4099.5845	1664.8457	1137.8661	1310.8986	0.53208923	0.6854296	0.62773895	-0.5320897	-1.0656805	-0.9980049	Sox17
664830	0	0	0	0	0	0	0	0	0	0	0	0	Gm7357
108167609	0	0	0	0	0	0	0	0	0	0	0	0	LOC108167609
105243854	0	0	0	0	0	0	0	0	0	0	0	0	Gm39586
108167610	0	0	0	0	0	0	0	0	0	0	0	0	Gm46082
102631571	0	0	0	0	0	0	0	0	0	0	0	0	Gm29874
664853	0	0	0	0	0	0	0	0	0	0	0	0	Gm7369
619596	0	0	0	0	0	0	0	0	0	0	0	0	Gm6085
619980	0	0	0	0	0	0	0	0	0	0	0	0	Gm6119
100039121	0	0	0	0	0	0	0	0	0	0	0	0	Gm2053
620009	0	0	0	0	0	0	0	0	0	0	0	0	Gm6123
27395	137.93279	129.56839	204.4059	166.55234	133.08148	164.21603	-0.19662642	-0.003917933	0.3005824	0.14538121	-0.16281724	0.003918171	Mrpl15
18777	664.2478	503.6626	772.09766	602.77686	621.1793	641.2984	0.040673256	-0.07563019	0.18747282	-0.029426575	0.029426098	-0.0611372	Lypla1
105243856	0	0	0	0	0	0	0	0	0	0	0	0	Gm39587
21399	1194.1818	943.59894	1303.0735	1104.4176	1120.231	1237.247	0.003380776	-0.05343628	0.059013844	-0.039358616	-0.003380776	0.003406525	Tcea1
619829	0	0	0	0	0	0	0	0	0	0	0	0	Gm6104
